"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"IL18_ITGAM","IL18","ITGAM",402,65,9.93013017140862e-06,1.99200720898215e-06,282,-3.64973527164104,1e-04,0.001
"CD55_FPR3","CD55","FPR3",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.64335073616516,1e-05,0.000141176470588235
"CXCL14_CD6","CXCL14","CD6",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.6401019335734,0.05239,0.15446683046683
"TNF_CD36","TNF","CD36",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.63984490650485,0.00219,0.0124549763033175
"CD55_FPR1","CD55","FPR1",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.63490882901848,0,0
"CXCL12_ADGRE2","CXCL12","ADGRE2",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.6326762849383,0,0
"IL1A_ACVR1","IL1A","ACVR1",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.63192529491293,0.02138,0.0762436849925706
"CXCL12_CCR1","CXCL12","CCR1",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.63079199153265,0,0
"CXCL12_IL12RB1","CXCL12","IL12RB1",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.63079199153265,1e-05,0.000141176470588235
"IL1A_IL10RB","IL1A","IL10RB",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.62974455124876,0.00495,0.0239034205231388
"CD1D_BCR","CD1D","BCR",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.62078571947342,0,0
"ICAM2_FPR3","ICAM2","FPR3",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.61970317282412,0,0
"CXCL12_TNFRSF21","CXCL12","TNFRSF21",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.61652681742177,0,0
"ICAM2_FPR1","ICAM2","FPR1",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.61127556314544,0,0
"ICAM1_CD209","ICAM1","CD209",1564,377,3.86336407663758e-05,1.15536418120965e-05,373,-3.6080234517776,0.00089,0.00591689750692521
"CD55_SIGLEC10","CD55","SIGLEC10",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.60694100135197,0,0
"LRPAP1_CD209","LRPAP1","CD209",277,67,6.84240312806017e-06,2.05329973848929e-06,209,-3.60305344862155,3e-05,0.000361809045226131
"LGALS9_CD209","LGALS9","CD209",450,109,1.11158173560544e-05,3.3404428581393e-06,342,-3.60100619589226,1e-04,0.001
"IL1A_TNFRSF1A","IL1A","TNFRSF1A",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.5936982095964,0.00606,0.0277028571428571
"CXCL12_PILRA","CXCL12","PILRA",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.58807519873796,0,0
"CD1D_CD72","CD1D","CD72",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.58610730745641,0,0
"ICAM2_SIGLEC10","ICAM2","SIGLEC10",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.58330921388146,0,0
"TNF_BCR","TNF","BCR",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.58291064680271,0.01698,0.0632795031055901
"CD99_CD209","CD99","CD209",207,51,5.11327598378504e-06,1.56295950243215e-06,182,-3.57645492960612,8e-05,0.000834782608695652
"VEGFB_CD209","VEGFB","CD209",158,39,3.90288698279244e-06,1.19520432538929e-06,143,-3.5737625767418,0.00017,0.00153383458646617
"CCL5_CD209","CCL5","CD209",182,45,4.49573057511535e-06,1.37908191391072e-06,129,-3.57133085059195,0.01162,0.0467919463087248
"CCL20_CXCR3","CCL20","CXCR3",2766,101,6.83252240152145e-05,3.09527274011073e-06,215,-3.56749660824454,0.00206,0.0118561151079137
"THBS1_PLAUR","THBS1","PLAUR",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.56297250098342,1e-05,0.000141176470588235
"APLP2_ITGAM","APLP2","ITGAM",882,152,2.17870020178667e-05,4.65823224254287e-06,479,-3.55777920686387,0.00022,0.00188571428571429
"THBS1_SIRPA","THBS1","SIRPA",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.5551465210661,4e-05,0.00045933014354067
"CD58_ITGAM","CD58","ITGAM",214,37,5.28618869821255e-06,1.13391179588215e-06,169,-3.5530384258543,0.0015,0.00916030534351145
"TNF_CD72","TNF","CD72",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.54821135318525,0.00497,0.0239518072289157
"CXCL12_IFNGR1","CXCL12","IFNGR1",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.54747358767806,0,0
"KLRB1_IL1RAP","KLRB1","IL1RAP",208,27,5.13797780013182e-06,8.27449148346432e-07,131,-3.54471725769708,0.00861,0.0367686832740213
"THBS1_ACVR1","THBS1","ACVR1",5434,421,0.000134229670028444,1.29020774612536e-05,454,-3.53129745013101,0.00569,0.02621113243762
