"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CCL5_LILRB2","CCL5","LILRB2",85,275,2.09609578240375e-06,8.4444997994201e-06,177,2.6912828267335,2e-05,0.000210090634441088
"LTB_NRP2","LTB","NRP2",123,192,3.03317389689014e-06,5.89579622359512e-06,159,2.70198781792395,0.00358,0.0208154849498328
"IL1A_SIGLEC1","IL1A","SIGLEC1",424,1093,1.04558189616376e-05,3.35630482936952e-05,343,2.70613799345954,7e-05,0.000654274193548387
"CCL5_TLR8","CCL5","TLR8",85,275,2.09609578240375e-06,8.4444997994201e-06,177,2.70847993586621,0.00019,0.00160347087378641
"CSF3_SIGLEC10","CSF3","SIGLEC10",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.71004700954717,0.03149,0.130813297491039
"IL6_BSG","IL6","BSG",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.71348353187536,3e-05,0.000299741379310345
"IL23A_SORT1","IL23A","SORT1",218,593,5.3758691831061e-06,1.82094122947495e-05,197,2.71350319101182,0.02833,0.121160405904059
"TNF_SIGLEC10","TNF","SIGLEC10",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.72429160871263,0,0
"CCL19_TNFRSF10A","CCL19","TNFRSF10A",27,92,6.65818660292957e-07,2.825069023806e-06,48,2.72432480074792,0.00952,0.0483226861313869
"IL6_CD209","IL6","CD209",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.72612063757958,0,0
"CSF3_ADGRG6","CSF3","ADGRG6",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.7261405646639,0.06771,0.24600592476489
"CLCF1_SIGLEC1","CLCF1","SIGLEC1",21,55,5.17858958005633e-07,1.68889995988402e-06,62,2.72901552262311,0.0057,0.0313590189873418
"IL23A_PLXND1","IL23A","PLXND1",218,593,5.3758691831061e-06,1.82094122947495e-05,197,2.73031353812466,0.01593,0.0751541519674356
"CD58_TREM2","CD58","TREM2",187,374,4.61141072128826e-06,1.14845197272113e-05,400,2.73079125591541,0.03005,0.126119891435464
"IL1RN_CCRL2","IL1RN","CCRL2",870,6734,2.1454156831662e-05,0.0002067827696338,746,2.73119253013147,1e-05,0.000109339622641509
"IL23A_NRP1","IL23A","NRP1",218,593,5.3758691831061e-06,1.82094122947495e-05,197,2.73142778177172,0.0041,0.0234083743842365
"CSF3_TNFRSF1A","CSF3","TNFRSF1A",18,89,4.43879106861971e-07,2.73294720781232e-06,48,2.7325902236586,0.03145,0.130803409090909
"INHBA_SIGLEC10","INHBA","SIGLEC10",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.73555485681388,0,0
"TNF_ADGRG6","TNF","ADGRG6",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.74041025279199,0.00086,0.00611496932515337
"IL6_PILRA","IL6","PILRA",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.74343669689739,5e-05,0.00048024861878453
"CCL19_CCR6","CCL19","CCR6",27,92,6.65818660292957e-07,2.825069023806e-06,48,2.74540045838763,0.00679,0.0366028372093023
"TNF_TNFRSF1A","TNF","TNFRSF1A",461,2302,1.13682371257427e-05,7.06881401391457e-05,543,2.74683743683514,0,0
"IL1B_CD80","IL1B","CD80",13198,21711,0.00032546202513135,0.000666685582346217,1273,2.74755984255466,0.00076,0.00552828451882845
"ICAM4_TREM2","ICAM4","TREM2",37,75,9.12418164105164e-07,2.30304539984185e-06,96,2.75014253988286,0.02698,0.11624468401487
"INHBA_ADGRG6","INHBA","ADGRG6",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.75167361727329,0.00269,0.0162380729166667
"IL6_IL12RB1","IL6","IL12RB1",137,586,3.37841320222723e-06,1.79944613907643e-05,183,2.75781607212468,0.00072,0.0052704
"INHBA_TNFRSF1A","INHBA","TNFRSF1A",521,2622,1.2847834148616e-05,8.05144671784709e-05,415,2.75810069706512,0,0
"TNFSF14_FPR3","TNFSF14","FPR3",92,290,2.2687154350723e-06,8.90510887938847e-06,182,2.75829760541168,0,0
"TNFSF14_ITGAV","TNFSF14","ITGAV",92,290,2.2687154350723e-06,8.90510887938847e-06,182,2.76162590349069,2e-04,0.00168377723970944
"CCL3_TNFRSF10A","CCL3","TNFRSF10A",5143,17991,0.000126826124810618,0.000552454530514062,1051,2.76228707580223,0.00198,0.0125172
"CCL19_LILRB2","CCL19","LILRB2",27,92,6.65818660292957e-07,2.825069023806e-06,48,2.7660582746826,0.00089,0.00630250509164969
