"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"CD58_CALCRL","CD58","CALCRL",214,37,5.26424608923709e-06,1.13742850839132e-06,169,-1.5974660457859,0.83325,1
"CCL5_IL12RB1","CCL5","IL12RB1",182,45,4.47706910393061e-06,1.38335899669214e-06,129,-1.59717777666809,0.81062,1
"KLRB1_ADGRE2","KLRB1","ADGRE2",208,27,5.11665040449212e-06,8.30015398015286e-07,131,-1.59680638689268,0.93675,1
"THBS1_IL1R1","THBS1","IL1R1",5434,421,0.000133672491817357,1.29420919468309e-05,454,-1.59580087494727,0.965,1
"ITGB1_IL10RB","ITGB1","IL10RB",465,106,1.14386655677348e-05,3.25857896998594e-06,327,-1.59393183061102,0.8523,1
"KLRB1_IL1RAP","KLRB1","IL1RAP",208,27,5.11665040449212e-06,8.30015398015286e-07,131,-1.59365243766614,0.91835,1
"CD58_TNFRSF1A","CD58","TNFRSF1A",214,37,5.26424608923709e-06,1.13742850839132e-06,169,-1.59357171547252,0.96863,1
"IL1RN_TREM2","IL1RN","TREM2",277,139,6.81400077905922e-06,4.27304223422684e-06,113,-1.59198235193995,0.511,1
"SPN_IL10RA","SPN","IL10RA",103,13,2.53372592145523e-06,3.99637043488841e-07,94,-1.5896994645818,0.9585,1
"ALCAM_CLEC2D","ALCAM","CLEC2D",145,30,3.56689571466999e-06,9.22239331128095e-07,127,-1.58793277358596,0.8931,1
"CD99_BSG","CD99","BSG",207,51,5.0920511237013e-06,1.56780686291776e-06,182,-1.58673810591476,0.95376,1
"CD93_PLXNB2","CD93","PLXNB2",398,109,9.79051375474935e-06,3.35080290309875e-06,258,-1.58671595704538,0.73395,1
"VEGFA_IL10RB","VEGFA","IL10RB",1030,236,2.53372592145523e-05,7.25494940487435e-06,339,-1.58655124547894,0.9361,1
"ALCAM_FPR1","ALCAM","FPR1",145,30,3.56689571466999e-06,9.22239331128095e-07,127,-1.58630817753835,0.96247,1
"IGF1_SORT1","IGF1","SORT1",406,122,9.98730800107597e-06,3.75043994658759e-06,216,-1.58582778875436,0.33017,0.92978908045977
"CD86_PLXNB2","CD86","PLXNB2",456,125,1.12172720406173e-05,3.8426638797004e-06,342,-1.58538155320088,0.84753,1
"VEGFB_BSG","VEGFB","BSG",158,39,3.88668636495075e-06,1.19891113046652e-06,143,-1.58405476911395,0.66751,1
"ITGB1_LTBR","ITGB1","LTBR",465,106,1.14386655677348e-05,3.25857896998594e-06,327,-1.5832465475067,0.85148,1
"CCL5_BSG","CCL5","BSG",182,45,4.47706910393061e-06,1.38335899669214e-06,129,-1.58161792688165,0.88353,1
"ADM_CCR6","ADM","CCR6",122,27,3.00111225648096e-06,8.30015398015286e-07,82,-1.57863832795346,0.41709,1
"ADM_FPR3","ADM","FPR3",122,27,3.00111225648096e-06,8.30015398015286e-07,82,-1.57602597531553,0.36198,0.99895607008761
"VEGFA_LTBR","VEGFA","LTBR",1030,236,2.53372592145523e-05,7.25494940487435e-06,339,-1.5758660657705,0.93365,1
"HEBP1_CCR1","HEBP1","CCR1",113,15,2.77971872936351e-06,4.61119665564048e-07,108,-1.57550135390289,0.42389,1
"HEBP1_IL6ST","HEBP1","IL6ST",113,15,2.77971872936351e-06,4.61119665564048e-07,108,-1.57416858750214,0.41667,1
