"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"ICAM1_CLEC2D","ICAM1","CLEC2D",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.26774741972882,0.55153,1
"ITGAV_CLEC2D","ITGAV","CLEC2D",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.26820387044306,0.65072,1
"ICAM1_ADGRE5","ICAM1","ADGRE5",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.27300476987632,0.5332,1
"ITGAV_ADGRE5","ITGAV","ADGRE5",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.27346100478717,0.63384,1
"CXCL9_IL10RA","CXCL9","IL10RA",265,766,6.57488442283593e-06,2.35568463914632e-05,246,1.2990659714845,0.30443,1
"TNFSF14_BSG","TNFSF14","BSG",92,290,2.28260138453172e-06,8.91838832052786e-06,182,1.29969837038316,0.3942,1
"ICAM1_IL12RB1","ICAM1","IL12RB1",790,1482,1.96005988454354e-05,4.55760396242148e-05,817,1.30610088983692,0.48413,1
"ITGAV_IL12RB1","ITGAV","IL12RB1",81,152,2.00968165377249e-06,4.67446560248357e-06,181,1.3065543831141,0.56789,1
"CLCF1_NCR3","CLCF1","NCR3",21,55,5.21028576903979e-07,1.69141847458287e-06,62,1.30875561611077,0.49382,1
"CD58_CD74","CD58","CD74",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.31313125113435,0.41949,1
"CXCL10_CD80","CXCL10","CD80",173,1240,4.29228303830421e-06,3.81337983360502e-05,237,1.323806164946,0.56694,1
"TNFSF10_FLT1","TNFSF10","FLT1",240,227,5.95461230747405e-06,6.98094534055112e-06,286,1.32479830222503,0.66861,1
"IL6_SIGLEC10","IL6","SIGLEC10",137,586,3.3990911921831e-06,1.80212950201011e-05,183,1.32678134700726,0.11824,0.508706976744186
"ICAM4_CD74","ICAM4","CD74",37,75,9.18002730735582e-07,2.30647973806755e-06,96,1.33249656678976,0.8155,1
"CXCL11_NCR3","CXCL11","NCR3",35,94,8.68380961506632e-07,2.890787938378e-06,57,1.34502069466495,0.60339,1
"CXCL9_TNFRSF10A","CXCL9","TNFRSF10A",265,766,6.57488442283593e-06,2.35568463914632e-05,246,1.35431560443327,0.26491,0.921209586466165
"IL6_TNFRSF13B","IL6","TNFRSF13B",137,586,3.3990911921831e-06,1.80212950201011e-05,183,1.3546896357097,0.07521,0.36233984375
"CD58_CLEC2D","CD58","CLEC2D",187,374,4.63963542290686e-06,1.15016456271635e-05,400,1.36012646402693,0.32483,1
